id	name	code1	зак1	зак2	мид	price1	price1_name	price2	price2_name	price3	price3_name	price4	price4_name	desc	Comment	prim2	lk1	lk2	lk3	lk4	cat	cat2	url	path	ord	code2	code3	prim	img_path	img1	img2	img3	img4	img5	par1	text1	par2	text2	par3	text3	w	h	l	m	desc1
165	Пружина ограничения опрокидывания платформы	5511 (55102)-8510211				220	аналог, Наб.Челны														борта		5511-55102-8510211-pruzhina-ogranicheniya-oprokidyvaniya-platformy	/kuzov/catalog/	165				/kuzov/img/	5511 (55102)-8510211.jpg															
167	Пружина дышла прицепа	8527-2707066			459	510	аналог, Наб.Челны							Пружина дышла прицепа  Артикул: 8527-2707066  Применяется для дополнительное оборудование и устройство седельное в моделях НЕФАЗ  Ширина, м - 0.06  Высота, м - 0.06  Длина, м - 0.35  Вес, кг - 2.5							борта		8527-2707066-pruzhina-dyshla-pricepa	/kuzov/catalog/	167			НефАЗ / НефАЗ-8527 (1991)	/kuzov/img/	8527-2707066.jpg											0.35	0.06	0.06	2.5	
169	Пружина закрывания борта СЗАП (завод)	554М-8524315			800	900	аналог, Наб.Челны							на Ставропольский прицеп, диаметр 10мм							борта		554m-8524315-pruzhina-zakryvaniya-borta-szap-zavod	/kuzov/catalog/	169				/kuzov/img/	554M-8524315.jpg														3.75	
171	Механизм закрывания бортов СЗАП (оцинк) к-т из 5-ти	8357-0000001			965	1 080	аналог, Наб.Челны							из 5-ти							борта		8357-0000001-mekhanizm-zakryvaniya-bortov-szap-ocink-k-t-iz-5-ti	/kuzov/catalog/	171				/kuzov/img/	8357-0000001.jpg														0.918	
173	Комплект штангового запора d27, с рукояткой для распашных ворот КАМАЗ, МАЗ	коплект-запора1				2 000	аналог, Наб.Челны														борта		koplekt-zapora1-komplekt-shtangovogo-zapora-d27-s-rukoyatkoj-dlya-raspashnyh-vorot-kamaz-maz	/kuzov/catalog/	173				/kuzov/img/	koplekt-zapora1.jpg															
175	Запор борта 53215 в сборе	53215-8505028,029-73				650	аналог, Наб.Челны														борта		53215-8505028-029-73-zapor-borta-53215-v-sbore	/kuzov/catalog/	175				/kuzov/img/	53215-8505028,029-73.jpg															
177	Запор борта 55102 комплект (левый + правый) завод	55102-8505011				3 150	аналог, Наб.Челны														борта		55102-8505011-zapor-borta-55102-komplekt-levyj-pravyj-zavod	/kuzov/catalog/	177				/kuzov/img/	55102-8505011.jpg															
179	Запор борта самосвальный правый/левый	запор-борта2				5 200	аналог, Наб.Челны														борта		zapor-borta2-zapor-borta-samosvalnyj-pravyj-levyj	/kuzov/catalog/	179				/kuzov/img/																
181	Скоба углового запора	5320-8505038			264	300	аналог, Наб.Челны							Скоба углового запора КАМАЗ в сборе (ПАО КАМАЗ)   Артикул - 5320-8505038  Альтернативные описания - Скоба КАМАЗ углового запора в сборе (ОАО КАМАЗ)   Производитель: ПАО КАМАЗ  Применяется для кузова и платформы в моделях КАМАЗ-4310, КАМАЗ-5320, КАМАЗ-53212, КАМАЗ-5410, КАМАЗ-54112, КАМАЗ-5511, КАМАЗ-55102, КАМАЗ-65115, КАМАЗ-43101  Ширина, м - 0.08  Высота, м - 0.03  Длина, м - 0.1  Вес, кг - 0.055, новое поступление 16-02-19							борта		5320-8505038-skoba-uglovogo-zapora	/kuzov/catalog/	181			КамАЗ-4310, КамАЗ-5320, КамАЗ-53212, КамАЗ-5410, КамАЗ-54112, КамАЗ-5511 (2003), КамАЗ-55102, Общий (см. мод-ции), КамАЗ-65115 (2001), КамАЗ-43101, КамАЗ-4310 (каталог 2004 г), НефАЗ / НефАЗ-8332 (2009) (2009), НефАЗ / НефАЗ-9334 (2008) (2008), НефАЗ / НефАЗ-8332 (2010) (2010), НефАЗ / НефАЗ-9334-10 (11, 13, 16, 17) (2008)	/kuzov/img/	5320-8505038.jpg											0.111	0.088	0.075	0.52	
183	Запор (рычаг) угловой в сборе правый, левый	5320-8505028/29				450	аналог, Наб.Челны														борта		5320-8505028-29-zapor-rychag-uglovoj-v-sbore-pravyj-levyj	/kuzov/catalog/	183				/kuzov/img/	5320-8505028,29.jpg															
